tweet_id,text,response_tweet_id,in_response_to_tweet_id
61835," I am sorry that this happened. If there is something that we can assist you with, click the link to DM us your tracking number, phone number and address. ^J.K. https://t.co/wKJHDXWGRQ",,61836
61836,  thanks for hanging up on me after I had been on hold waiting to talk to a supervisor for over 90 minutes!,61835,
61837," Thank you for your patience with as we deliver you, your package on 11/25. ^LG https://t.co/wKJHDXWGRQ",,61838
61838,36 minutes  ,"6,183,761,839",
61839," Luz, actually “We deliver up until 7:00 p.m. or until the driver has attempted to deliver every package. During the holidays our drivers can deliver until 8:00 p.m. or later”. ^LG. https://t.co/wKJHDXWGRQ","6,184,061,841",61838
61840, why say it’ll be here by 8 then if it wont be? Ive literally been waiting home all day for this package because yall have a habit of knocking lightly and saying you couldn’t deliver because no one was home. This is bollocks,,61839
61841, is there only one driver in all of Atlanta that can deliver packages today? Ive literally been waiting since 9 am :(,,61839
61842, Wow!! Sounds like fun. Love the pic. Thx for sharing. Enjoy...,,61843
61843,"❤️  &amp;  #SmallBizSat, so this is definitely a must-do! https://t.co/PEHMRsXWGg",61842,
61844," Hi.While we do not currently have an American Express Card Member offer connected to Small Business Saturday,we encourage you to visit https://t.co/d4YhMx5Nlv for information on how to get involved and support local businesses in your community.Thank you. ^B",,61845
61845," What's with small business Saturday?
How do I sign up as a shopper?
What are my benefits?",61844,61846
61846,Good night. Have a great weekend.,"6,184,561,847",
61848," on your billing statement w/in 90 days after 12/28/2017.If we can assist you in any way in the future, pls let us know. Thank you. ^B",,61849
61849, received confirmation of using Google Express offer but it's not posted on my account?,"6,184,861,850",
61850, Hi Steve.Our records reflect you're enrolled in the 'Google Express: Your stores in one place - Spend $50.00  and get a $20.00 adjustment' offer.Statement credit will appear,,61849
61851, Hello! Is this endpoint from a Virtual Machine? ^BD,61852,61853
61852, No. It is of iot hub.,61854,61851
61854, Apologies for the late response. Are you not able to find the IoT Hub created? ^BD,61855,61852
61855, I can get to iot hub. Selecting CEP &amp; hitting Delete -&gt; res not found err msg displayed and the CEP is still listed.,61856,61854
61856," Could you please Direct Message us a screenshot of the error message that is being received?  ^RS
 https://t.co/EYpi1mphGM",61857,61855
61857, ThanQ...very much...Found that ep was part of a route. Deleting route allowed to delete it. But why this error on selecting ep? https://t.co/wkT6YaGlO5,61858,61856
61858, Could you post this on https://t.co/c2qcBV8VOI. We'd like to connect you with a support engineer to discuss. ^DO,61859,61857
61859, Here is the link: https://t.co/6J8SqpKf8Z,61860,61858
61860, We have escalated this internally and asked that the relevant team respond to your forum discussions. ^DO,,61859
61853, #azTechHelp Delete custom end pt not finding the listed resource &amp; only one end pt is allowed for BizSpark acc. How 2 del it?,61851,
61861," Hello! Could you DM us more info on your issue so we can investigate further? ^BD
 https://t.co/EYpi1mphGM",,61862
61862,. I need urgent help with my Service Bus - is there anyone who can have a look for me??,61861,
61863," This is what dreams are made of, Tess! Hopefully the rest of your year goes great.",,61864
61864,2017 has been a rough year but at least we now live in a world where you can order McDonalds breakfast after 10:30am,61863,
61865," Hi. I am sorry about this. Can you DM your order number, name and address please? Elizabeth",61866,61867
61866," Yeah, I have done that. Thank you.",,61865
61867," hi, I’ve just had my Reviber Plus delivered but there are no resistance bands in the box which they’re should be.",61865,
61868, Please DM us your tracking # That way we can get this looked into. ^LD https://t.co/wKJHDXWGRQ,61869,61870
61869,  1ZM3TY500320019012,,61868
61870,Que esta pasando con la compañía de  y el correo  en #PuertoRico que no pueden cumplir con las entregas 📦,61868,
61871," Hey, can you please DM us your tracking number? ^AZ https://t.co/wKJHDXWGRQ",,61872
61872,Also- heyyyy  where’s my package? Tracking tells me squat...,61871,
61873, What we help you with. If there is a tracking # related to your question please send a DM. ^MC https://t.co/wKJHDXWGRQ,,61874
61874, wym by end of the day,61873,
61875,"  No worries, enjoy that beef wellington! -Jack",61876,61877
61876,"  Jack, for you from #SundayLunch at #ParlezPantry https://t.co/GkYmT22HN4",61878,61875
61878,  ❤️❤️❤️❤️,61879,61876
61879,"  Wow, when can I come round? 😂 -Jack","6,188,061,881",61878
61880,"  this was 1.7kg fillet 14"" long, we're looking at one of two options on Christmas day but it'd be 2.5kg",,61879
61881, if you can find #Ghyllfoot then you're welcome ;-) ,,61879
61877,  Thanks jack!,61875,61882
61882,  https://t.co/CiyxZ7Dut9 #FastTrackDelivery ;) -Jack,"6,188,361,877",61884
61884," Damn, give me the recipe and I will make it after his birthday, Sunday lunch, can’t get to Argos to get one..",61882,61885
61885," sort that first, it's a must x do you have a meat probe thermometer? You don't need one but very useful and cheap",61884,61886
61886, Thank you 😊,61885,61887
61887," I'll do it ma'am - first thing prep,  see your butcher, you need beef fillet it isn't cheap but you can buy a small amount, get them to trim",61886,61888
61888, By Monday... need to prep it for young sirs birthday,61887,61889
61889," Happily, when do you require it by ma'am?",61888,61890
61890, do you have a recipe for the beef Wellington you did on Sunday? Want to make it for carricks birthday..,61889,
61883,#bravo Jack RT :   https://t.co/54T33JGENo #FastTrackDelivery ;) -Jack,,61882
